cyleung428@ubt16a:~/CS3103/asm2$ ./SFIFO 500 1
The MaxToken is 500 and the flowInterval is 1
Flow                                         Queue                   Server
Token added          Last sequence number    Current Length          Token Fetched      Total Token Fetched
4                    3                       4
                                             0                      4                 4
8                    11                      8
6                    17                      14
                                             0                      14                18
6                    23                      6
7                    30                      13
                                             0                      13                31
10                   40                      10
2                    42                      12
                                             9                      3                 34
8                    50                      17
1                    51                      18
                                             0                      18                52
4                    55                      4
7                    62                      11
                                             10                     1                 53
7                    69                      17
3                    72                      20
                                             3                      17                70
2                    74                      5
9                    83                      14
                                             6                      8                 78
10                   93                      16
3                    96                      19
                                             8                      11                89
3                     99                     11
4                    103                     15
                                             7                      8                 97
6                    109                     13
10                   119                     23
                                             20                     3                 100
3                    122                     23
9                    131                     32
                                             22                     10                110
8                    139                     30
4                    143                     34
                                             17                     17                127
2                    145                     19
3                    148                     22
                                             12                     10                137
4                    152                     16
2                    154                     18
                                             0                      18                155
5                    159                     5
8                    167                     13
                                             0                      13                168
5                    172                     5
6                    178                     11
                                             0                      11                179
4                    182                     4
7                    189                     11
                                             0                      11                190
1                    190                     1
7                    197                     8
                                             0                      8                 198
3                    200                     3
1                    201                     4
                                             0                      4                 202
2                    203                     2
6                    209                     8
                                             2                      6                 208
5                    214                     7
8                    222                     15
                                             0                      15                223
6                    228                     6
7                    235                     13
                                             3                      10                233
4                    239                     7
8                    247                     15
                                             10                     5                 238
6                    253                     16
3                    256                     19
                                             13                     6                 244
5                    261                     18
8                    269                     26
                                             11                     15                259
5                    274                     16
4                    278                     20
                                             9                      11                270
8                    286                     17
9                    295                     26
                                             9                      17                287
9                    304                     18
9                    313                     27
                                             22                     5                 292
4                    317                     26
2                    319                     28
                                             13                     15                307
10                   329                     23
3                    332                     26
                                             25                     1                 308
7                    339                     32
9                    348                     41
                                             21                     20                328
3                    351                     24
7                    358                     31
                                             24                     7                 335
5                    363                     29
10                   373                     39
                                             23                     16                351
1                    374                     24
5                    379                     29
                                             10                     19                370
8                    387                     18
2                    389                     20
                                             2                      18                388
3                    392                     5
8                    400                     13
                                             0                      13                401
3                    403                     3
7                    410                     10
                                             8                      2                 403
1                    411                     9
7                    418                     16
                                             14                     2                 405
6                    424                     20
10                   434                     30
                                             25                     5                 410
10                   444                     35
1                    445                     36
                                             26                     10                420
2                    447                     28
8                    455                     36
                                             18                     18                438
2                    457                     20
2                    459                     22
                                             6                      16                454
10                   469                     16
8                    477                     24
                                             16                     8                 462
7                    484                     23
8                    492                     31
                                             17                     14                476
7                    499                     24
6                    505                     30
                                             23                     7                 483
4                    509                     27
10                   519                     37
                                             32                     5                 488
9                    528                     41
2                    530                     43
                                             31                     12                500
10                   540                     41
The total number of tokens that have been generated by the flow is 541.
The total number of tokens that have been fetched by the server is 500.
The total number of tokens that have been dropped by the queue is 0.
